institution,course_name,url,badges,also_offered_with_languages,partner_subjects,raw_variant_count
UCL,BA (hons) international social & political studies,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/international-social-and-political-studies-ba,Year abroad,,international social & political studies,1
UCL,BSc (hons) politics & international relations,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/politics-and-international-relations-bsc,,,,1
UCL,"BA (hons) politics, sociology & east European studies",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/politics-sociology-and-east-european-studies-year-abroad-ba,Year abroad,,"sociology, east european studies",2
Manchester Met,BA (hons) international relations,https://www.mmu.ac.uk/study/undergraduate/course/ba-international-relations/september-2025/,"Foundation year, Year abroad","French, Spanish",,6
Manchester Met,BA (hons) international relations (with a modern language),https://www.mmu.ac.uk/study/undergraduate/course/ba-international-relations-with-a-modern-language/september-2025/,Foundation year,,,2
Manchester Met,BA (hons) politics,https://www.mmu.ac.uk/study/undergraduate/course/ba-politics/september-2025/,Foundation year,,,2
Sheffield,BA (hons) politics & international relations,https://sheffield.ac.uk/undergraduate/courses/2026/politics-and-international-relations-ba,"Foundation year, Sandwich year, Year abroad",,,2
Sheffield,BA (hons) global sustainable development,https://www.sheffield.ac.uk/undergraduate/courses/2025/global-sustainable-development-ba,"Foundation year, Sandwich year, Year abroad",,,2
Sheffield,BA (hons) politics & modern languages & cultures,https://www.sheffield.ac.uk/undergraduate/courses/2025/politics-and-modern-languages-cultures-ba,Year abroad,,"modern languages, cultures",1
Sheffield,BA (hons) politics & sociology,https://www.sheffield.ac.uk/undergraduate/courses/2025/politics-and-sociology-ba,"Sandwich year, Year abroad",,sociology,1
Birmingham,BA (hons) international relations,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/international-relations.aspx,Year abroad,"French, German, Spanish",,4
Birmingham,BA (hons) politics & international relations,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-international-relations.aspx,,,,1
Birmingham,BA (hons) international relations with year abroad,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/international-relations-year-abroad.aspx,Year abroad,,,1
Birmingham,BA (hons) politics & international relations with year abroad,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-international-relations-year-abroad.aspx,Year abroad,,,1
Birmingham,BA (hons) international development & politics,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/international-development-and-politics.aspx,,,,1
Birmingham,BA (hons) international development & politics with year abroad,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/international-development-and-politics-year-abroad.aspx,Year abroad,,,1
Birmingham,BA (hons) politics,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics.aspx,,,,1
Birmingham,BA (hons) politics & sociology,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-sociology.aspx,,,sociology,1
Birmingham,BA (hons) politics & sociology with year abroad,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-sociology-year-abroad.aspx,Year abroad,,sociology,1
Birmingham,BA (hons) politics with year abroad,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-year-abroad.aspx,Year abroad,,,1
Warwick,BA (hons) politics,https://warwick.ac.uk/study/undergraduate/courses/ba-politics,"Sandwich year, Year abroad",,,1
Warwick,BA (hons) politics & international studies,https://warwick.ac.uk/study/undergraduate/courses/ba-politics-international-studies,"Sandwich year, Year abroad",Chinese,,2
Warwick,"BASc (hons) politics, international studies & global sustainable development",https://warwick.ac.uk/study/undergraduate/courses/basc-politics-international-studies-global-sustainable-development,"Sandwich year, Year abroad",,,1
Warwick,BA (hons) politics & sociology,https://warwick.ac.uk/study/undergraduate/courses/ba-politics-sociology,"Sandwich year, Year abroad",,sociology,1
Warwick,"BA (hons) politics, philosophy & law",https://warwick.ac.uk/study/undergraduate/courses/ba-politics-philosophy-law,"Sandwich year, Year abroad",,"philosophy, law",1
Warwick,"BA (hons) politics, international studies",https://warwick.ac.uk/study/undergraduate/courses/ba-politics-international-studies-french,"Sandwich year, Year abroad","French, German, Hispanic, Italian",,4
Aston,BSc (hons) politics with international relations,https://www.aston.ac.uk/study/courses/politics-international-relations-bsc/september-2025,"Sandwich year, Year abroad",,,1
Aston,BSc (hons) international development management,https://www.aston.ac.uk/study/courses/international-development-management-bsc/september-2025,"Sandwich year, Year abroad",,,1
Aston,BSc (hons) international relations & sociology,https://www.aston.ac.uk/study/courses/international-relations-and-sociology-bsc/september-2025,"Sandwich year, Year abroad",,sociology,1
Aston,BSc (hons) politics & sociology,https://www.aston.ac.uk/study/courses/politics-and-sociology-bsc/september-2025,"Sandwich year, Year abroad",,sociology,1
Bristol,BSc (hons) politics & international relations,https://www.bristol.ac.uk/study/undergraduate/2026/politics-international-relations/bsc-politics-and-international-relations/,Foundation year,,,1
Bristol,BSc (hons) politics & international relations with study abroad,https://www.bristol.ac.uk/study/undergraduate/2026/politics-international-relations/bsc-politics-and-international-relations-with-study-abroad/,"Foundation year, Year abroad",,,1
Lancaster,BA (hons) politics & international relations,http://www.lancs.ac.uk/study/undergraduate/courses/politics-and-international-relations-ba-hons-l250/,"Placement year, Sandwich year, Year abroad",,,3
Lancaster,BA (hons) peace studies & international relations,http://www.lancs.ac.uk/study/undergraduate/courses/peace-studies-and-international-relations-ba-hons-ll92/,"Placement year, Sandwich year, Year abroad",,peace studies,3
Lancaster,BA (hons) international relations,http://www.lancs.ac.uk/study/undergraduate/courses/international-relations-ba-hons-6t99/,"Placement year, Sandwich year, Year abroad",,,3
Lancaster,BA (hons) politics,http://www.lancs.ac.uk/study/undergraduate/courses/politics-ba-hons-l200/,"Placement year, Sandwich year, Year abroad","French, German, Spanish",,5
Lancaster,BA (hons) politics & sociology,http://www.lancs.ac.uk/study/undergraduate/courses/politics-and-sociology-ba-hons-ll23/,,,sociology,1
Lancaster,LLB (hons) law with politics,http://www.lancs.ac.uk/study/undergraduate/courses/law-with-politics-llb-hons-m1l2/,,,law,1
Lincoln,BA (hons) international relations,https://www.lincoln.ac.uk/home/course/ISTISTUB/,Year abroad,,,1
Lincoln,BA (hons) international relations & politics,https://www.lincoln.ac.uk/home/course/ISTPOLUB/,Year abroad,,,1
Lincoln,BA (hons) politics,https://www.lincoln.ac.uk/home/course/POLPOLUB/,Year abroad,,,1
Aberdeen,MA (hons) politics & international relations,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/829/L240/politics-and-international-relations/,Year abroad,,,1
Aberdeen,MA (hons) politics & sociology,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/831/LL23/politics-and-sociology/,Year abroad,,sociology,1
