institution,course_name,url,badges,also_offered_with_languages,partner_subjects,raw_variant_count
Northumbria,BA (hons) international relations & politics,https://www.northumbria.ac.uk/study-at-northumbria/courses/international-relations-and-politics-ba-hons-uusirp1/,"Foundation year, Sandwich year, Year abroad",,,1
SOAS,BA (hons) global development,https://www.soas.ac.uk/study/find-course/ba-global-development-and,"Foundation year, Year abroad","Arabic, Chinese, Japanese, Korean",,5
SOAS,BA (hons) international relations & global development,https://www.soas.ac.uk/study/find-course/ba-international-relations-and,Foundation year,,,1
SOAS,BA (hons) politics & global development,https://www.soas.ac.uk/study/find-course/ba-politics-and,Foundation year,,,1
SOAS,BA (hons) international relations & law,https://www.soas.ac.uk/study/find-course/ba-international-relations-and,Foundation year,,law,1
SOAS,BA (hons) international relations,https://www.soas.ac.uk/study/find-course/ba-international-relations,"Foundation year, Year abroad","Arabic, Chinese, Japanese, Korean",,5
SOAS,BA (hons) law & global development,https://www.soas.ac.uk/study/find-course/ba-law-and,Foundation year,,law,1
SOAS,BA (hons) politics,https://www.soas.ac.uk/study/find-course/ba-politics,"Foundation year, Year abroad","Arabic, Chinese, Japanese, Korean",,5
SOAS,BA (hons) politics & international relations,https://www.soas.ac.uk/study/find-course/ba-politics-and,Foundation year,,,1
SOAS,BA (hons) politics & law,https://www.soas.ac.uk/study/find-course/ba-politics-and,Foundation year,,law,1
Leeds,BA (hons) politics,https://courses.leeds.ac.uk/202526/f552/politics-ba,"Sandwich year, Year abroad",,,1
Leeds,BA (hons) international relations,https://courses.leeds.ac.uk/202526/a753/international-relations-ba,"Sandwich year, Year abroad",,,1
Leeds,BA (hons) modern languages & international relations,https://courses.leeds.ac.uk/202526/j042/modern-languages-and-international-relations-ba,"Sandwich year, Year abroad",,modern languages,1
Leeds,BA (hons) international development,https://courses.leeds.ac.uk/202526/f485/international-development-ba,"Sandwich year, Year abroad",,,1
Leeds,BSc (hons) social & political sciences,https://courses.leeds.ac.uk/202526/j441/social-and-political-sciences-bsc,"Sandwich year, Year abroad",,"social, political sciences",1
Leeds,BA (hons) global creative industries,https://courses.leeds.ac.uk/202526/i991/global-creative-industries-ba,"Sandwich year, Year abroad",,,1
Westminster,BA (hons) international relations,http://www.westminster.ac.uk/international-relations-ba,"Foundation year, Year abroad","Arabic, Chinese, French, Spanish",,6
Westminster,BA (hons) politics & international relations,http://www.westminster.ac.uk/politics-and-international-relations-ba,"Foundation year, Year abroad",,,2
Westminster,LLB (hons) law & international relations,https://www.westminster.ac.uk/law-and-international-relations-llb,"Sandwich year, Year abroad",,law,1
Royal Holloway,BA (hons) politics,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics/,"Sandwich year, Year abroad",,,1
Royal Holloway,BA (hons) politics & international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics-and-international-relations/,"Sandwich year, Year abroad",,,1
Royal Holloway,BA (hons) international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/international-relations/,"Sandwich year, Year abroad",,,1
Royal Holloway,BA (hons) modern languages with international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/modern-languages-literatures-and-cultures/modern-languages-with-international-relations/,"Sandwich year, Year abroad",,modern languages,1
Royal Holloway,LLB (hons) law with international relations,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations/,"Sandwich year, Year abroad",,law,1
Royal Holloway,LLB (hons) law with international relations with a year in industry,https://www.royalholloway.ac.uk/studying-here/undergraduate/law/law-with-international-relations-with-a-year-in-industry/,"Sandwich year, Year abroad",,law,1
Royal Holloway,BA (hons) politics & law,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics-and-law/,"Sandwich year, Year abroad",,law,1
Royal Holloway,BA (hons) politics & law with a year in industry,https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics-and-law-with-a-year-in-industry/,"Sandwich year, Year abroad",,law,1
Royal Holloway,"BA (hons) politics, international relations",https://www.royalholloway.ac.uk/studying-here/undergraduate/politics-and-international-relations/politics-international-relations-and-modern-languages-french/,"Sandwich year, Year abroad","French, German, Italian, Spanish",,4
Cardiff,BScEcon (hons) international relations,https://www.cardiff.ac.uk/study/undergraduate/courses/course/international-relations-bscecon,,,,1
Cardiff,BScEcon (hons) international relations & politics,https://www.cardiff.ac.uk/study/undergraduate/courses/course/international-relations-and-politics-bsc-econ,,,,1
Leicester,LLB (hons) law with politics,https://le.ac.uk/courses/law-with-politics-llb/2025,Year abroad,,law,1
Leicester,BA (hons) politics & sociology,https://le.ac.uk/courses/politics-and-sociology-ba/2025,Year abroad,,sociology,1
Leicester,BA (hons) international relations,https://le.ac.uk/courses/international-relations-ba/2025,"Sandwich year, Year abroad",,,1
Leicester,BA (hons) politics,https://le.ac.uk/courses/politics-ba/2025,"Sandwich year, Year abroad",,,1
Leicester,BA (hons) politics & international relations,https://le.ac.uk/courses/politics-and-international-relations-ba/2025,"Sandwich year, Year abroad",,,1
"Queen's, Belfast",BA (hons) international relations,https://www.qub.ac.uk/courses/undergraduate/international-relations-conflict-studies-ba-l253/#overview,Year abroad,French,,2
"Queen's, Belfast",BA (hons) politics,http://www.qub.ac.uk/courses/undergraduate/politics-ba-l200/,Year abroad,"French, Irish, Spanish",,4
Greenwich,BA (hons) politics & international relations,https://www.gre.ac.uk/undergraduate-courses/ach/politics-and-international-relations-ba-hons,"Sandwich year, Year abroad",,,1
Oxford Brookes,"BA/BSc (hons) communication, media & culture & politics",https://www.brookes.ac.uk/courses/undergraduate/communication-media-and-culture-and-politics,Year abroad,,"communication, media, culture",1
Oxford Brookes,"BA/BSc (hons) communication, media & culture & international relations",https://www.brookes.ac.uk/courses/undergraduate/communication-media-and-culture-and-international,Year abroad,,"communication, media, culture",1
Oxford Brookes,BA/BSc (hons) criminology & politics,https://www.brookes.ac.uk/courses/undergraduate/criminology-and-politics,Year abroad,,criminology,1
Oxford Brookes,BA/BSc (hons) criminology & international relations,https://www.brookes.ac.uk/courses/undergraduate/criminology-and-international-relations,Year abroad,,criminology,1
Oxford Brookes,BA (hons) international relations & politics,https://www.brookes.ac.uk/courses/undergraduate/international-relations-and-politics,Year abroad,,,1
Oxford Brookes,BA (hons) politics & sociology,https://www.brookes.ac.uk/courses/undergraduate/politics-and-sociology,Year abroad,,sociology,1
Oxford Brookes,BA/BSc (hons) international relations & sociology,https://www.brookes.ac.uk/courses/undergraduate/international-relations-and-sociology,Year abroad,,sociology,1
Leeds Beckett,BA (hons) international relations with global development,https://www.leedsbeckett.ac.uk/courses/international-relations-ba/,Year abroad,,,1
Leeds Beckett,BA (hons) international relations with human rights,https://www.leedsbeckett.ac.uk/courses/international-relations-ba/,Year abroad,,human rights,1
Leeds Beckett,BA (hons) international relations with politics,https://www.leedsbeckett.ac.uk/courses/international-relations-ba/,Year abroad,,,1
Leeds Beckett,BA (hons) international relations,https://www.leedsbeckett.ac.uk/courses/international-relations-ba/,Year abroad,,,1
Leeds Beckett,BA (hons) politics,https://www.leedsbeckett.ac.uk/courses/politics-ba/,Year abroad,,,1
Leeds Beckett,BA (hons) politics with global development,https://www.leedsbeckett.ac.uk/courses/politics-ba/,Year abroad,,,1
Leeds Beckett,BA (hons) politics with human rights,https://www.leedsbeckett.ac.uk/courses/politics-ba/,Year abroad,,human rights,1
Leeds Beckett,BA (hons) politics with international relations,https://www.leedsbeckett.ac.uk/courses/politics-ba/,Year abroad,,,1
Bath Spa,BA (hons) international relations & politics,https://www.bathspa.ac.uk/courses/ug-international-relations-and-politics/,Year abroad,,,1
Bath Spa,BA (hons) international relations & politics with professional placement year,https://www.bathspa.ac.uk/courses/ug-international-relations-and-politics/,"Sandwich year, Year abroad",,,1
Bradford,"BA (hons) international relations, politics & security studies",https://www.bradford.ac.uk/courses/ug/international-relations-politics-security-ba/,Foundation year,,security studies,1
Chichester,BA (hons) politics & international relations,https://www.chi.ac.uk/department-humanities/undergraduate/ba-hons-politics-and-international-relations,,,,1
Chichester,LLB (hons) law with international relations,https://www.chi.ac.uk/law/course/llb-hons-law-with-international-relations/,Foundation year,,law,1
Coventry,BA (hons) international relations,https://www.coventry.ac.uk/course-structure/ug/fah/international-relations-ba-hons/?term=2025-26,"Sandwich year, Year abroad",,,1
Coventry,BA (hons) politics & international relations,https://www.coventry.ac.uk/course-structure/ug/fah/politics-and-international-relations/?term=2025-26,"Sandwich year, Year abroad",,,1
De Montfort,BA (hons) politics & international relations,https://www.dmu.ac.uk/study/courses/undergraduate-courses/politics-ba-degree/politics-ba-hons.aspx,"Sandwich year, Year abroad",,,1
East London,BA (hons) international development with NGO management,https://www.uel.ac.uk/undergraduate/courses/ba-hons-international-development-with-ngo-management,"Foundation year, Year abroad",,ngo management,1
East London,BA (hons) politics & international relations,https://www.uel.ac.uk/undergraduate/courses/ba-hons-politics-and-international-relations,Year abroad,,,1
East London,BA (hons) sustainable development & social change,https://uel.ac.uk/undergraduate/courses/ba-hons-sustainable-development-social-change,,,social change,1
London South Bank,BA (hons) politics & international relations,https://www.lsbu.ac.uk/study/course-finder/ba-hons-politics-international-relations#overview,,,,1
Newcastle,BA (hons) politics & sociology,http://www.ncl.ac.uk/undergraduate/degrees/ll32/,"Sandwich year, Year abroad",,sociology,1
Newcastle,BA (hons) politics,http://www.ncl.ac.uk/undergraduate/degrees/l200/,"Sandwich year, Year abroad",,,1
Newcastle,BA (hons) politics & international relations,http://www.ncl.ac.uk/undergraduate/degrees/l290/,"Sandwich year, Year abroad",,,1
Newcastle,BA (hons) international relations,http://www.ncl.ac.uk/undergraduate/degrees/l250/,"Sandwich year, Year abroad",,,1
Surrey,LLB (hons) law with international relations,https://www.surrey.ac.uk/undergraduate/law-international-relations/2025,"Foundation year, Sandwich year, Year abroad",,law,3
Surrey,"LLB (hons) law (philosophy, politics & law pathway)",https://www.surrey.ac.uk/undergraduate/law-philosophy-politics-and-law-pathway/2025,"Sandwich year, Year abroad",,"law (philosophy, politics & law pathway)",2
Surrey,BSc (hons) politics & sociology,https://www.surrey.ac.uk/undergraduate/politics-and-sociology/2025,"Sandwich year, Year abroad",,sociology,2
Surrey,BSc (hons) politics,https://www.surrey.ac.uk/undergraduate/politics/2025,"Foundation year, Sandwich year, Year abroad",,,4
Surrey,BSc (hons) international relations,https://www.surrey.ac.uk/undergraduate/international-relations/2025,"Sandwich year, Year abroad",,,2
Surrey,BA (hons) international relations,https://www.surrey.ac.uk/undergraduate/international-relations/2025,"Foundation year, Sandwich year, Year abroad",,,2
West London,BSc (hons) artificial intelligence,https://www.uwl.ac.uk/course/undergraduate/artificial-intelligence-foundation-year,Foundation year,,,1
West London,BA (hons) politics & international relations,https://www.uwl.ac.uk/course/undergraduate/politics-and-international-relations-foundation-year,Foundation year,,,3
Winchester,BA (hons) politics with international relations,https://www.winchester.ac.uk/study/undergraduate/courses/ba-hons-politics-with-international-relations,,,,1
